index,Close,High,Low,n,Open,v,vw,symbol
2019-01-02 09:30:00-05:00,16.0,16.0,16.0,4,16.0,1767,16.0,DRN
2019-01-02 09:36:00-05:00,15.591,15.77,15.591,10,15.74,2408,15.733048,DRN
2019-01-02 09:45:00-05:00,15.61,15.61,15.6,4,15.6,268,15.602052,DRN
2019-01-02 09:48:00-05:00,15.5801,15.5801,15.5801,1,15.5801,2100,15.5801,DRN
2019-01-02 09:49:00-05:00,15.58,15.58,15.58,3,15.58,239,15.581883,DRN
2019-01-02 09:50:00-05:00,15.45,15.5,15.45,10,15.5,780,15.490385,DRN
2019-01-02 09:59:00-05:00,15.5275,15.5275,15.5275,1,15.5275,200,15.5275,DRN
2019-01-02 10:01:00-05:00,15.5969,15.5969,15.5969,1,15.5969,345,15.5969,DRN
2019-01-02 10:07:00-05:00,15.6346,15.6346,15.6346,1,15.6346,500,15.6346,DRN
2019-01-02 10:08:00-05:00,15.75,15.75,15.68,9,15.68,1426,15.684909,DRN
2019-01-02 10:11:00-05:00,15.7621,15.7621,15.7621,1,15.7621,275,15.7621,DRN
2019-01-02 10:12:00-05:00,15.8,15.8,15.7354,7,15.8,1797,15.771224,DRN
2019-01-02 10:24:00-05:00,15.61,15.61,15.61,3,15.61,210,15.616005,DRN
2019-01-02 10:25:00-05:00,15.675,15.675,15.675,1,15.675,200,15.675,DRN
2019-01-02 10:27:00-05:00,15.53,15.56,15.53,11,15.56,900,15.554764,DRN
2019-01-02 10:28:00-05:00,15.45,15.51,15.45,6,15.51,2195,15.477859,DRN
2019-01-02 10:32:00-05:00,15.4,15.4,15.4,13,15.4,1701,15.399824,DRN
2019-01-02 10:36:00-05:00,15.36,15.36,15.36,1,15.36,100,15.36,DRN
2019-01-02 10:38:00-05:00,15.275,15.2917,15.2725,4,15.275,2419,15.277348,DRN
2019-01-02 10:40:00-05:00,15.42,15.42,15.42,2,15.42,200,15.42,DRN
2019-01-02 10:43:00-05:00,15.47,15.47,15.47,1,15.47,333,15.47,DRN
