index,Close,High,Low,n,Open,v,vw,symbol
2024-01-02 09:30:00-05:00,117.6684,118.788,116.7,1114,118.12,86267,117.635448,LABU
2024-01-02 09:31:00-05:00,118.5799,118.5799,116.69,323,117.686,28342,117.160559,LABU
2024-01-02 09:32:00-05:00,121.0,121.0,118.27,523,118.39,58891,120.161048,LABU
2024-01-02 09:33:00-05:00,121.61,121.74,121.17,270,121.3199,16844,121.481036,LABU
2024-01-02 09:34:00-05:00,121.57,122.01,121.12,267,121.6442,18625,121.664946,LABU
2024-01-02 09:35:00-05:00,120.28,121.81,120.1301,220,121.77,17277,120.771614,LABU
2024-01-02 09:36:00-05:00,121.5105,121.5105,119.86,177,120.13,18569,120.710669,LABU
2024-01-02 09:37:00-05:00,121.78,122.27,120.94,220,121.39,14927,121.742808,LABU
2024-01-02 09:38:00-05:00,123.084,123.1889,121.77,308,121.89,32635,122.607216,LABU
2024-01-02 09:39:00-05:00,122.3501,123.16,122.3501,194,123.035,23401,122.72378,LABU
2024-01-02 09:40:00-05:00,122.86,123.07,122.5,168,122.7,14835,122.815325,LABU
2024-01-02 09:41:00-05:00,123.5105,123.8879,123.0,288,123.0,30338,123.476317,LABU
2024-01-02 09:42:00-05:00,124.13,124.21,123.41,262,123.56,24033,123.853391,LABU
2024-01-02 09:43:00-05:00,123.11,124.1376,123.11,245,124.1229,22553,123.673575,LABU
2024-01-02 09:44:00-05:00,123.3549,123.37,122.74,157,123.21,12712,123.102106,LABU
2024-01-02 09:45:00-05:00,123.4452,123.5899,123.1268,112,123.4,11870,123.470762,LABU
2024-01-02 09:46:00-05:00,124.8646,125.3275,123.455,427,123.49,33186,124.460083,LABU
2024-01-02 09:47:00-05:00,125.63,125.7,124.64,321,124.75,26494,125.167603,LABU
2024-01-02 09:48:00-05:00,125.5,125.79,125.1,223,125.76,24036,125.481524,LABU
2024-01-02 09:49:00-05:00,124.89,125.5699,124.48,187,125.39,16312,125.156231,LABU
2024-01-02 09:50:00-05:00,126.085,126.14,124.78,333,124.78,23245,125.57201,LABU
2024-01-02 09:51:00-05:00,126.815,127.15,125.9,446,125.9801,33321,126.652331,LABU
2024-01-02 09:52:00-05:00,127.27,127.84,126.81,370,126.81,28094,127.297266,LABU
2024-01-02 09:53:00-05:00,127.3,127.54,127.24,212,127.33,16564,127.381933,LABU
2024-01-02 09:54:00-05:00,126.8899,127.48,126.65,274,127.1889,29765,127.076498,LABU
2024-01-02 09:55:00-05:00,126.9,127.08,126.6,195,126.89,16429,126.828773,LABU
2024-01-02 09:56:00-05:00,127.21,127.45,126.795,203,126.86,17664,127.219319,LABU
2024-01-02 09:57:00-05:00,127.68,127.68,126.82,206,127.17,14542,127.213405,LABU
2024-01-02 09:58:00-05:00,129.0,129.0,127.7005,445,127.7399,31144,128.226524,LABU
2024-01-02 09:59:00-05:00,129.03,129.39,128.5493,274,129.0,21980,128.917539,LABU
2024-01-02 10:00:00-05:00,130.2549,130.36,129.02,508,129.19,56698,129.92966,LABU
2024-01-02 10:01:00-05:00,130.61,130.74,130.12,385,130.35,31535,130.428154,LABU
2024-01-02 10:02:00-05:00,130.99,131.0,130.19,529,130.6,43129,130.62759,LABU
2024-01-02 10:03:00-05:00,130.16,131.1,130.11,322,131.0,28871,130.695928,LABU
2024-01-02 10:04:00-05:00,129.1388,130.1701,128.815,363,130.1701,33690,129.518382,LABU
2024-01-02 10:05:00-05:00,129.3136,129.8895,128.71,347,129.15,20120,129.442272,LABU
2024-01-02 10:06:00-05:00,129.82,129.99,129.475,163,129.475,14274,129.741949,LABU
2024-01-02 10:07:00-05:00,129.8,130.1,129.7501,273,129.8799,21374,129.936332,LABU
2024-01-02 10:08:00-05:00,129.5,129.9,129.45,234,129.61,17341,129.596567,LABU
2024-01-02 10:09:00-05:00,130.4499,130.4499,129.5,343,129.5,19302,130.004455,LABU
2024-01-02 10:10:00-05:00,130.16,130.7999,130.16,254,130.46,13553,130.542753,LABU
2024-01-02 10:11:00-05:00,129.96,130.22,129.8,145,130.18,6717,130.043964,LABU
2024-01-02 10:12:00-05:00,129.95,130.0,129.3899,292,130.0,25717,129.689952,LABU
2024-01-02 10:13:00-05:00,129.7147,130.02,129.5813,158,129.933,11175,129.869004,LABU
2024-01-02 10:14:00-05:00,129.5,129.706,129.28,193,129.705,17015,129.506648,LABU
2024-01-02 10:15:00-05:00,129.5595,129.5595,129.15,130,129.36,16401,129.27594,LABU
2024-01-02 10:16:00-05:00,129.6799,129.84,129.525,105,129.525,17865,129.737896,LABU
2024-01-02 10:17:00-05:00,130.5659,130.9,129.57,341,129.6895,33981,130.358983,LABU
2024-01-02 10:18:00-05:00,130.79,130.96,130.37,235,130.5437,22417,130.721427,LABU
2024-01-02 10:19:00-05:00,130.78,131.0,130.5861,153,130.62,8597,130.817676,LABU
2024-01-02 10:20:00-05:00,130.25,130.6299,129.94,161,130.6299,8648,130.136745,LABU
2024-01-02 10:21:00-05:00,130.6899,130.84,130.41,165,130.41,10839,130.643536,LABU
