index,Close,High,Low,n,Open,v,vw,symbol
2024-01-02 09:30:00-05:00,49.395,49.4,49.155,8381,49.35,2208504,49.277427,TQQQ
2024-01-02 09:31:00-05:00,49.39,49.43,49.31,2329,49.4,465798,49.372628,TQQQ
2024-01-02 09:32:00-05:00,49.36,49.4,49.26,2467,49.38,511694,49.346677,TQQQ
2024-01-02 09:33:00-05:00,49.205,49.33,49.15,2760,49.33,635618,49.206905,TQQQ
2024-01-02 09:34:00-05:00,49.06,49.21,49.0463,2734,49.21,460790,49.132384,TQQQ
2024-01-02 09:35:00-05:00,49.14,49.1599,49.015,2200,49.06,505296,49.081359,TQQQ
2024-01-02 09:36:00-05:00,49.005,49.155,48.98,2905,49.15,560080,49.043603,TQQQ
2024-01-02 09:37:00-05:00,48.965,49.03,48.9317,1769,49.01,257827,48.976557,TQQQ
2024-01-02 09:38:00-05:00,48.8101,48.97,48.745,4951,48.9699,797600,48.842208,TQQQ
2024-01-02 09:39:00-05:00,48.79,48.8499,48.76,2011,48.82,354574,48.800862,TQQQ
2024-01-02 09:40:00-05:00,48.725,48.81,48.62,3781,48.79,588387,48.709501,TQQQ
2024-01-02 09:41:00-05:00,48.625,48.78,48.61,1923,48.725,333428,48.718341,TQQQ
2024-01-02 09:42:00-05:00,48.5101,48.69,48.5,2677,48.63,463983,48.5707,TQQQ
2024-01-02 09:43:00-05:00,48.53,48.57,48.5199,1712,48.52,341668,48.542981,TQQQ
2024-01-02 09:44:00-05:00,48.5988,48.64,48.54,1556,48.54,437124,48.592855,TQQQ
2024-01-02 09:45:00-05:00,48.5042,48.61,48.48,3381,48.59,536207,48.531353,TQQQ
2024-01-02 09:46:00-05:00,48.596,48.64,48.475,2775,48.51,465113,48.573022,TQQQ
2024-01-02 09:47:00-05:00,48.52,48.635,48.505,2210,48.6,254265,48.573684,TQQQ
2024-01-02 09:48:00-05:00,48.3201,48.53,48.32,5371,48.5201,665743,48.396991,TQQQ
2024-01-02 09:49:00-05:00,48.24,48.34,48.23,2257,48.33,517523,48.287522,TQQQ
2024-01-02 09:50:00-05:00,48.32,48.325,48.22,1681,48.25,389345,48.273708,TQQQ
2024-01-02 09:51:00-05:00,48.395,48.4213,48.3,1675,48.3299,392679,48.369729,TQQQ
2024-01-02 09:52:00-05:00,48.36,48.3981,48.3101,1539,48.3981,240603,48.356166,TQQQ
2024-01-02 09:53:00-05:00,48.27,48.3783,48.26,1936,48.37,233694,48.326936,TQQQ
2024-01-02 09:54:00-05:00,48.221,48.29,48.21,1731,48.2799,234257,48.256638,TQQQ
2024-01-02 09:55:00-05:00,48.2401,48.2999,48.2,1405,48.2101,189197,48.243575,TQQQ
2024-01-02 09:56:00-05:00,48.1201,48.2485,48.1,2602,48.24,398290,48.164471,TQQQ
2024-01-02 09:57:00-05:00,48.2323,48.25,48.1,1673,48.125,376811,48.178013,TQQQ
2024-01-02 09:58:00-05:00,48.355,48.355,48.2399,1570,48.2399,340523,48.311061,TQQQ
2024-01-02 09:59:00-05:00,48.5002,48.505,48.33,1707,48.3501,437490,48.433614,TQQQ
2024-01-02 10:00:00-05:00,48.6461,48.67,48.46,3120,48.5,780125,48.571832,TQQQ
2024-01-02 10:01:00-05:00,48.6783,48.68,48.59,1774,48.6426,366682,48.632257,TQQQ
2024-01-02 10:02:00-05:00,48.6312,48.72,48.61,1819,48.675,348178,48.662034,TQQQ
2024-01-02 10:03:00-05:00,48.645,48.71,48.575,1628,48.6313,259151,48.636654,TQQQ
2024-01-02 10:04:00-05:00,48.6398,48.65,48.605,1054,48.64,188516,48.624947,TQQQ
2024-01-02 10:05:00-05:00,48.4899,48.65,48.48,1785,48.636,358929,48.551602,TQQQ
2024-01-02 10:06:00-05:00,48.5492,48.58,48.46,1040,48.495,238292,48.516485,TQQQ
2024-01-02 10:07:00-05:00,48.46,48.56,48.4527,1190,48.55,206635,48.501189,TQQQ
2024-01-02 10:08:00-05:00,48.4,48.49,48.36,1533,48.45,245759,48.417459,TQQQ
2024-01-02 10:09:00-05:00,48.48,48.5199,48.4,1068,48.41,185990,48.46932,TQQQ
2024-01-02 10:10:00-05:00,48.415,48.5384,48.4,1487,48.48,274015,48.474168,TQQQ
2024-01-02 10:11:00-05:00,48.4,48.51,48.38,1227,48.415,243969,48.429922,TQQQ
2024-01-02 10:12:00-05:00,48.518,48.52,48.385,974,48.39,125238,48.447943,TQQQ
2024-01-02 10:13:00-05:00,48.5201,48.5674,48.505,1306,48.5123,244997,48.535568,TQQQ
2024-01-02 10:14:00-05:00,48.375,48.5285,48.3301,2085,48.5201,356158,48.424476,TQQQ
2024-01-02 10:15:00-05:00,48.3,48.375,48.27,1983,48.3701,262554,48.322547,TQQQ
2024-01-02 10:16:00-05:00,48.3001,48.369,48.275,1638,48.3,232640,48.330179,TQQQ
2024-01-02 10:17:00-05:00,48.37,48.39,48.27,1240,48.309,192647,48.350246,TQQQ
2024-01-02 10:18:00-05:00,48.315,48.41,48.31,1527,48.37,237434,48.357846,TQQQ
2024-01-02 10:19:00-05:00,48.26,48.359,48.26,1235,48.32,169763,48.321049,TQQQ
2024-01-02 10:20:00-05:00,48.29,48.32,48.2401,1447,48.26,242414,48.270913,TQQQ
2024-01-02 10:21:00-05:00,48.31,48.39,48.28,1303,48.29,175100,48.33659,TQQQ
2024-01-02 10:22:00-05:00,48.36,48.39,48.316,1210,48.319,187557,48.357181,TQQQ
2024-01-02 10:23:00-05:00,48.42,48.435,48.3246,1142,48.36,183251,48.367036,TQQQ
2024-01-02 10:24:00-05:00,48.44,48.4697,48.41,1584,48.41,283489,48.431805,TQQQ
2024-01-02 10:25:00-05:00,48.34,48.4685,48.34,1346,48.44,207623,48.399033,TQQQ
2024-01-02 10:26:00-05:00,48.1883,48.35,48.181,2362,48.34,293653,48.254665,TQQQ
2024-01-02 10:27:00-05:00,48.24,48.3,48.1801,1741,48.1801,302247,48.246253,TQQQ
2024-01-02 10:28:00-05:00,48.1101,48.25,48.0998,3435,48.24,494670,48.15779,TQQQ
