index,Close,High,Low,n,Open,v,vw,symbol
2019-01-02 09:41:00-05:00,66.33,66.33,66.33,1,66.33,136,66.33,UMDD
2019-01-02 09:43:00-05:00,66.6095,66.6095,66.6095,1,66.6095,400,66.6095,UMDD
2019-01-02 09:45:00-05:00,67.0919,67.0919,67.0919,1,67.0919,400,67.0919,UMDD
2019-01-02 09:51:00-05:00,66.9666,66.9666,66.9666,1,66.9666,371,66.9666,UMDD
2019-01-02 10:27:00-05:00,68.655,68.655,68.655,1,68.655,100,68.655,UMDD
2019-01-02 10:29:00-05:00,68.66,68.66,68.66,1,68.66,100,68.66,UMDD
2019-01-02 10:30:00-05:00,68.52,68.52,68.52,2,68.52,200,68.52,UMDD
2019-01-02 11:48:00-05:00,70.05,70.08,69.979,4,69.979,1100,70.020455,UMDD
2019-01-02 13:07:00-05:00,69.7101,69.7101,69.7101,1,69.7101,500,69.7101,UMDD
2019-01-02 13:26:00-05:00,69.4415,69.4415,69.4415,1,69.4415,100,69.4415,UMDD
2019-01-02 14:20:00-05:00,69.33,69.33,69.33,1,69.33,100,69.33,UMDD
2019-01-02 14:49:00-05:00,69.5,69.5,69.5,1,69.5,100,69.5,UMDD
2019-01-02 15:44:00-05:00,68.29,68.3,68.29,4,68.3,1200,68.291667,UMDD
2019-01-02 15:46:00-05:00,68.48,68.48,68.48,1,68.48,200,68.48,UMDD
2019-01-02 09:30:00-05:00,13.92,13.92,13.92,1,13.92,2724,13.92,SMDD
2019-01-02 09:38:00-05:00,14.0439,14.0439,14.0439,1,14.0439,300,14.0439,SMDD
2019-01-02 09:45:00-05:00,13.89,13.89,13.89,1,13.89,100,13.89,SMDD
2019-01-02 09:48:00-05:00,13.93,13.93,13.91,13,13.911,4860,13.920562,SMDD
2019-01-02 10:04:00-05:00,13.87,13.88,13.87,6,13.88,600,13.876667,SMDD
2019-01-02 10:34:00-05:00,13.727,13.727,13.727,1,13.727,1300,13.727,SMDD
2019-01-02 10:48:00-05:00,13.58,13.58,13.58,1,13.58,100,13.58,SMDD
2019-01-02 11:35:00-05:00,13.39,13.39,13.39,3,13.39,300,13.39,SMDD
2019-01-02 11:41:00-05:00,13.33,13.33,13.33,2,13.33,150,13.323333,SMDD
2019-01-02 11:45:00-05:00,13.3,13.3,13.3,1,13.3,100,13.3,SMDD
2019-01-02 11:52:00-05:00,13.4334,13.4334,13.4334,1,13.4334,100,13.4334,SMDD
2019-01-02 11:57:00-05:00,13.45,13.45,13.45,2,13.45,104,13.450765,SMDD
2019-01-02 12:06:00-05:00,13.56,13.56,13.56,1,13.56,100,13.56,SMDD
2019-01-02 12:51:00-05:00,13.58,13.58,13.58,1,13.58,100,13.58,SMDD
2019-01-02 13:31:00-05:00,13.3901,13.3901,13.3901,1,13.3901,710,13.3901,SMDD
2019-01-02 13:59:00-05:00,13.42,13.42,13.42,1,13.42,100,13.42,SMDD
