index,Close,High,Low,n,Open,v,vw,symbol
2019-11-07 12:05:00-05:00,25.23,25.23,25.23,6,25.23,600,25.23,WEBL
2019-11-07 12:06:00-05:00,25.23,25.23,25.22,3,25.22,300,25.223333,WEBL
2019-11-07 12:07:00-05:00,25.24,25.24,25.24,1,25.24,100,25.24,WEBL
2019-11-07 12:16:00-05:00,25.24,25.24,25.24,6,25.24,600,25.24,WEBL
2019-11-07 12:17:00-05:00,25.23,25.24,25.23,3,25.24,300,25.233333,WEBL
2019-11-07 12:18:00-05:00,29.1,29.1,25.24,2,25.24,200,27.17,WEBL
2019-11-07 12:20:00-05:00,25.21,25.21,25.21,4,25.21,400,25.21,WEBL
2019-11-07 12:21:00-05:00,25.21,25.21,25.21,6,25.21,550,25.21,WEBL
2019-11-07 12:19:00-05:00,24.81,24.81,24.81,1,24.81,100,24.81,WEBS
2019-11-08 09:49:00-05:00,24.64,24.64,24.6004,3,24.64,300,24.6268,WEBL
2019-11-08 09:59:00-05:00,24.5,24.5,24.5,14,24.5,1280,24.50375,WEBL
2019-11-08 10:00:00-05:00,24.5,24.5,24.35,5,24.44,550,24.450909,WEBL
2019-11-08 12:47:00-05:00,24.9,24.9,24.87,3,24.87,208,24.885577,WEBL
2019-11-08 14:09:00-05:00,24.8199,24.82,24.8199,2,24.82,200,24.81995,WEBL
2019-11-08 14:28:00-05:00,24.8421,24.8421,24.8421,1,24.8421,200,24.8421,WEBL
2019-11-08 09:31:00-05:00,25.35,25.37,25.35,30,25.37,3000,25.364667,WEBS
2019-11-08 09:50:00-05:00,25.42,25.43,25.42,31,25.42,3100,25.426774,WEBS
2019-11-08 09:52:00-05:00,25.44,25.44,25.42,60,25.42,6000,25.430333,WEBS
2019-11-08 09:53:00-05:00,25.43,25.43,25.43,50,25.43,5000,25.43,WEBS
2019-11-08 09:54:00-05:00,25.43,25.43,25.43,10,25.43,1000,25.43,WEBS
2019-11-08 09:55:00-05:00,25.39,25.39,25.39,30,25.39,3000,25.39,WEBS
2019-11-08 09:58:00-05:00,25.31,25.34,25.31,50,25.34,5000,25.3226,WEBS
2019-11-08 09:59:00-05:00,25.28,25.28,25.28,10,25.28,1000,25.28,WEBS
2019-11-08 10:00:00-05:00,25.12,25.12,25.12,1,25.12,100,25.12,WEBS
2019-11-08 10:01:00-05:00,25.12,25.12,25.12,8,25.12,800,25.12,WEBS
2019-11-08 12:08:00-05:00,25.18,25.18,25.18,3,25.18,300,25.18,WEBS
2019-11-08 12:25:00-05:00,25.0998,25.1,25.0998,4,25.1,218,25.0999,WEBS
2019-11-08 14:07:00-05:00,25.19,25.19,25.19,1,25.19,100,25.19,WEBS
2019-11-08 14:39:00-05:00,25.21,25.21,25.21,10,25.21,1000,25.21,WEBS
2019-11-08 14:47:00-05:00,25.23,25.23,25.23,1,25.23,100,25.23,WEBS
2019-11-08 15:59:00-05:00,25.09,25.09,25.09,1,25.09,100,25.09,WEBS
2019-11-11 09:30:00-05:00,24.7,24.7,24.7,5,24.7,830,24.71753,WEBL
2019-11-11 09:32:00-05:00,24.5,24.5,24.5,3,24.5,750,24.5,WEBL
2019-11-11 09:34:00-05:00,24.4577,24.4577,24.4577,1,24.4577,127,24.4577,WEBL
2019-11-11 09:39:00-05:00,24.5075,24.5075,24.5075,1,24.5075,800,24.5075,WEBL
2019-11-11 09:40:00-05:00,24.4,24.4,24.4,1,24.4,150,24.4,WEBL
2019-11-11 09:44:00-05:00,24.4396,24.4396,24.4396,1,24.4396,100,24.4396,WEBL
2019-11-11 09:57:00-05:00,24.5804,24.5804,24.5804,1,24.5804,200,24.5804,WEBL
2019-11-12 09:37:00-05:00,24.82,24.82,24.799,5,24.799,1800,24.815333,WEBL
2019-11-12 10:05:00-05:00,24.8395,24.8395,24.8395,1,24.8395,420,24.8395,WEBL
2019-11-12 10:20:00-05:00,24.95,24.95,24.9498,6,24.9498,450,24.949956,WEBL
2019-11-12 10:33:00-05:00,24.9974,25.0,24.9974,2,25.0,200,24.9987,WEBL
2019-11-12 10:43:00-05:00,25.21,25.21,25.03,2,25.03,400,25.165,WEBL
2019-11-12 11:34:00-05:00,25.3,25.3,25.05,10,25.05,1000,25.075,WEBL
2019-11-12 13:37:00-05:00,24.9308,24.9308,24.9308,1,24.9308,100,24.9308,WEBL
2019-11-12 13:44:00-05:00,24.9576,24.9576,24.9576,1,24.9576,100,24.9576,WEBL
2019-11-13 11:42:00-05:00,24.6299,24.6299,24.6299,1,24.6299,404,24.6299,WEBL
2019-11-13 14:15:00-05:00,24.3574,24.3574,24.3574,1,24.3574,125,24.3574,WEBL
2019-11-13 14:51:00-05:00,24.35,24.48,24.35,5,24.48,800,24.3995,WEBL
2019-11-13 14:55:00-05:00,24.53,24.53,24.52,12,24.52,1300,24.529231,WEBL
2019-11-13 14:56:00-05:00,24.54,24.54,24.53,14,24.53,1400,24.535,WEBL
2019-11-13 14:57:00-05:00,24.54,24.54,24.54,3,24.54,300,24.54,WEBL
2019-11-13 15:27:00-05:00,24.5835,24.5835,24.5835,1,24.5835,375,24.5835,WEBL
2019-11-13 10:18:00-05:00,25.29,25.29,25.29,39,25.29,3900,25.29,WEBS
2019-11-13 13:57:00-05:00,25.38,25.38,25.38,2,25.38,200,25.38,WEBS
2019-11-14 13:57:00-05:00,24.3,24.36,24.3,7,24.36,700,24.318571,WEBL
2019-11-14 14:49:00-05:00,24.41,24.41,24.41,1,24.41,100,24.41,WEBL
2019-11-14 14:17:00-05:00,25.6,25.61,25.6,3,25.6,300,25.603333,WEBS
2019-11-14 14:18:00-05:00,25.6,25.6,25.6,13,25.6,1300,25.6,WEBS
2019-11-14 14:19:00-05:00,25.59,25.59,25.59,8,25.59,800,25.59,WEBS
2019-11-15 09:30:00-05:00,25.0,25.0,25.0,1,25.0,100,25.0,WEBL
