index,Close,High,Low,n,Open,v,vw,symbol
2019-11-07 10:42:00-05:00,25.78,25.78,25.78,1,25.78,100,25.78,HIBL
2019-11-07 10:46:00-05:00,25.8,25.8,25.8,1,25.8,900,25.8,HIBL
2019-11-07 10:54:00-05:00,25.85,25.85,25.85,1,25.85,100,25.85,HIBL
2019-11-07 12:14:00-05:00,25.85,25.85,25.85,1,25.85,100,25.85,HIBL
2019-11-07 12:28:00-05:00,25.79,25.79,25.79,1,25.79,100,25.79,HIBL
2019-11-07 12:33:00-05:00,25.79,25.79,25.79,1,25.79,100,25.79,HIBL
2019-11-07 12:38:00-05:00,25.83,25.83,25.83,1,25.83,100,25.83,HIBL
2019-11-07 12:51:00-05:00,25.83,25.83,25.83,1,25.83,100,25.83,HIBL
2019-11-07 12:53:00-05:00,25.78,25.78,25.78,3,25.78,300,25.78,HIBL
2019-11-07 12:54:00-05:00,25.78,25.79,25.78,2,25.79,200,25.785,HIBL
2019-11-07 13:00:00-05:00,25.79,25.79,25.79,2,25.79,125,25.798,HIBL
2019-11-07 13:01:00-05:00,25.79,25.79,25.79,3,25.79,300,25.79,HIBL
2019-11-07 13:03:00-05:00,25.74,25.78,25.74,3,25.76,300,25.76,HIBL
2019-11-07 15:31:00-05:00,25.33,27.82,25.31,14,25.31,1400,26.218214,HIBL
2019-11-07 15:40:00-05:00,25.33,25.33,25.33,1,25.33,700,25.33,HIBL
2019-11-07 15:43:00-05:00,25.3,25.3,25.3,1,25.3,1000,25.3,HIBL
2019-11-07 15:46:00-05:00,25.24,25.24,25.24,1,25.24,100,25.24,HIBL
2019-11-07 11:21:00-05:00,24.19,24.19,24.19,1,24.19,100,24.19,HIBS
2019-11-07 12:30:00-05:00,24.18,24.18,24.18,1,24.18,100,24.18,HIBS
2019-11-08 09:30:00-05:00,25.2,25.2,25.2,2,25.2,110,25.222727,HIBL
2019-11-08 09:32:00-05:00,24.99,24.99,24.99,1,24.99,100,24.99,HIBL
2019-11-08 09:41:00-05:00,25.11,25.11,25.11,1,25.11,100,25.11,HIBL
2019-11-08 09:42:00-05:00,25.12,25.12,25.12,1,25.12,100,25.12,HIBL
2019-11-08 09:58:00-05:00,25.06,25.06,25.06,1,25.06,100,25.06,HIBL
2019-11-08 10:00:00-05:00,24.8,24.8,24.8,1,24.8,100,24.8,HIBL
2019-11-08 10:01:00-05:00,24.75,24.75,24.75,1,24.75,100,24.75,HIBL
2019-11-08 10:08:00-05:00,24.8626,24.87,24.8626,4,24.87,400,24.866325,HIBL
