index,Close,High,Low,n,Open,v,vw,symbol
2023-01-03 09:30:00-05:00,9.5308,10.21,9.52,51254,10.17,21583454,9.926022,SOXL
2023-01-03 10:00:00-05:00,9.445,9.63,9.364,26335,9.53,10734184,9.493766,SOXL
2023-01-03 10:30:00-05:00,9.6191,9.62,9.31,17656,9.45,9082435,9.449702,SOXL
2023-01-03 11:00:00-05:00,9.43,9.65,9.37,12492,9.61,7412580,9.486362,SOXL
2023-01-03 11:30:00-05:00,9.269,9.4301,9.25,13137,9.4301,6034726,9.31488,SOXL
2023-01-03 12:00:00-05:00,9.3285,9.36,9.24,7441,9.268,4105092,9.310819,SOXL
2023-01-03 12:30:00-05:00,9.33,9.42,9.2427,7454,9.33,4806198,9.335466,SOXL
2023-01-03 13:00:00-05:00,9.44,9.45,9.27,4950,9.33,2745877,9.33907,SOXL
2023-01-03 13:30:00-05:00,9.4299,9.455,9.36,4856,9.4399,3084494,9.407281,SOXL
2023-01-03 14:00:00-05:00,9.2923,9.47,9.27,5546,9.43,2559430,9.342954,SOXL
2023-01-03 14:30:00-05:00,9.3999,9.47,9.19,10258,9.29,5342359,9.330914,SOXL
2023-01-03 15:00:00-05:00,9.3899,9.52,9.355,8286,9.4,4666225,9.428069,SOXL
2023-01-03 15:30:00-05:00,9.3457,9.46,9.33,9676,9.39,5741318,9.385524,SOXL
2023-01-03 16:00:00-05:00,9.37,9.43,9.31,1657,9.35,571399,9.363003,SOXL
2023-01-03 09:30:00-05:00,40.1399,40.19,37.4,29252,37.5,4822279,38.599737,SOXS
2023-01-03 10:00:00-05:00,40.49,40.81,39.77,16084,40.14,2442188,40.320233,SOXS
2023-01-03 10:30:00-05:00,39.8155,41.05,39.8,11740,40.48,1921486,40.545917,SOXS
2023-01-03 11:00:00-05:00,40.5683,40.81,39.67,9146,39.82,1698211,40.381829,SOXS
2023-01-03 11:30:00-05:00,41.24,41.31,40.56,8063,40.56,1145581,41.042296,SOXS
2023-01-03 12:00:00-05:00,40.9708,41.32,40.86,4930,41.2298,876877,41.055332,SOXS
2023-01-03 12:30:00-05:00,40.99,41.33,40.6,5516,40.9699,1051396,40.941776,SOXS
2023-01-03 13:00:00-05:00,40.53,41.21,40.49,4064,41.0,877585,40.948968,SOXS
2023-01-03 13:30:00-05:00,40.552,40.86,40.46,2938,40.525,524550,40.646031,SOXS
2023-01-03 14:00:00-05:00,41.13,41.2,40.39,4517,40.55,807480,40.944139,SOXS
2023-01-03 14:30:00-05:00,40.7,41.5,40.3912,6606,41.12,1141601,40.988766,SOXS
2023-01-03 15:00:00-05:00,40.7203,40.85,40.21,5613,40.66,843937,40.608543,SOXS
2023-01-03 15:30:00-05:00,40.87,40.93,40.46,7938,40.7,1101628,40.750718,SOXS
2023-01-03 16:00:00-05:00,40.83,41.02,40.5,1777,40.89,229663,40.815463,SOXS
2023-01-04 09:30:00-05:00,9.96,10.2,9.84,39830,9.88,18521289,10.02615,SOXL
2023-01-04 10:00:00-05:00,9.7217,10.0158,9.61,33815,9.95,16658975,9.756287,SOXL
2023-01-04 10:30:00-05:00,9.85,9.85,9.58,14530,9.72,7641634,9.730825,SOXL
2023-01-04 11:00:00-05:00,10.0099,10.02,9.79,9905,9.8523,5547115,9.914528,SOXL
2023-01-04 11:30:00-05:00,10.135,10.19,10.01,14830,10.01,9351020,10.136935,SOXL
2023-01-04 12:00:00-05:00,10.125,10.16,10.065,6752,10.13,4507094,10.113928,SOXL
2023-01-04 12:30:00-05:00,10.08,10.23,10.07,9053,10.13,5757738,10.174323,SOXL
2023-01-04 13:00:00-05:00,10.145,10.18,10.01,6654,10.075,3947825,10.103101,SOXL
2023-01-04 13:30:00-05:00,10.13,10.227,10.1,6080,10.141,3400980,10.184159,SOXL
2023-01-04 14:00:00-05:00,9.839,10.27,9.81,22326,10.13,11926246,10.055686,SOXL
2023-01-04 14:30:00-05:00,10.1,10.1099,9.8,10696,9.83,6193628,9.955121,SOXL
2023-01-04 15:00:00-05:00,10.0,10.19,9.96,8226,10.1,4582178,10.058522,SOXL
2023-01-04 15:30:00-05:00,10.115,10.15,9.86,12162,9.995,6623742,9.971083,SOXL
2023-01-04 16:00:00-05:00,10.07,10.16,10.05,2052,10.07,1545198,10.096163,SOXL
2023-01-04 09:30:00-05:00,38.22,38.759,37.15,35540,38.58,4784899,37.949752,SOXS
2023-01-04 10:00:00-05:00,39.25,39.78,38.01,27549,38.25,4255621,39.175822,SOXS
2023-01-04 10:30:00-05:00,38.7,39.9,38.7,13160,39.27,2080127,39.218078,SOXS
2023-01-04 11:00:00-05:00,38.04,38.96,38.0,9131,38.71,1193644,38.430566,SOXS
2023-01-04 11:30:00-05:00,37.485,38.03,37.25,16763,38.02,2467166,37.459752,SOXS
2023-01-04 12:00:00-05:00,37.5,37.76,37.385,7230,37.46,1218451,37.562611,SOXS
2023-01-04 12:30:00-05:00,37.72,37.74,37.04,9850,37.5,1496565,37.343993,SOXS
2023-01-04 13:00:00-05:00,37.42,38.0,37.29,7257,37.72,1215167,37.602476,SOXS
2023-01-04 13:30:00-05:00,37.4559,37.6,37.0828,7619,37.42,1081251,37.229144,SOXS
2023-01-04 14:00:00-05:00,38.75,38.87,36.88,25437,37.5029,4320207,37.806824,SOXS
2023-01-04 14:30:00-05:00,37.625,38.9,37.56,12849,38.79,1988067,38.300862,SOXS
2023-01-04 15:00:00-05:00,38.055,38.2099,37.25,9049,37.61,1403066,37.760735,SOXS
2023-01-04 15:30:00-05:00,37.54,38.665,37.4,15015,38.07,2204709,38.222052,SOXS
2023-01-04 16:00:00-05:00,37.71,37.8,37.37,2463,37.56,317711,37.549956,SOXS
2023-01-05 09:30:00-05:00,9.745,9.89,9.6,30453,9.8,12763518,9.741499,SOXL
2023-01-05 10:00:00-05:00,9.89,9.93,9.72,18250,9.74,9036582,9.825095,SOXL
2023-01-05 10:30:00-05:00,9.83,9.97,9.79,9939,9.889,5123998,9.887393,SOXL
2023-01-05 11:00:00-05:00,9.8701,9.96,9.79,7831,9.83,4911688,9.865589,SOXL
2023-01-05 11:30:00-05:00,9.876,10.0,9.86,7334,9.8701,5320153,9.932609,SOXL
2023-01-05 12:00:00-05:00,9.8599,9.975,9.75,8391,9.8753,5237932,9.870617,SOXL
2023-01-05 12:30:00-05:00,9.7588,9.91,9.75,5873,9.8599,4106500,9.81639,SOXL
2023-01-05 13:00:00-05:00,9.9171,10.0,9.72,9851,9.76,6338445,9.847101,SOXL
2023-01-05 13:30:00-05:00,9.755,10.0,9.72,8736,9.92,4210890,9.834832,SOXL
2023-01-05 14:00:00-05:00,9.7199,9.8265,9.71,5081,9.76,2498708,9.778295,SOXL
2023-01-05 14:30:00-05:00,9.7595,9.86,9.71,5296,9.71,2927993,9.801244,SOXL
2023-01-05 15:00:00-05:00,9.6271,9.79,9.62,9377,9.75,4113997,9.700503,SOXL
2023-01-05 15:30:00-05:00,9.5589,9.65,9.53,16028,9.6228,7814875,9.593257,SOXL
2023-01-05 16:00:00-05:00,9.6,9.6,9.54,1334,9.57,459123,9.570673,SOXL
2023-01-05 09:30:00-05:00,38.8899,39.43,38.38,28477,38.71,4910025,38.925636,SOXS
2023-01-05 10:00:00-05:00,38.39,39.01,38.2,13925,38.93,2276192,38.651044,SOXS
2023-01-05 10:30:00-05:00,38.6,38.74,38.1,9931,38.375,1646147,38.386209,SOXS
2023-01-05 11:00:00-05:00,38.425,38.75,38.12,7088,38.63,1173022,38.517849,SOXS
2023-01-05 11:30:00-05:00,38.4405,38.49,38.0,6635,38.4209,1419881,38.205904,SOXS
2023-01-05 12:00:00-05:00,38.5001,38.92,38.08,7095,38.44,1395393,38.531485,SOXS
2023-01-05 12:30:00-05:00,38.87,38.9,38.305,3831,38.51,823916,38.676802,SOXS
2023-01-05 13:00:00-05:00,38.31,39.0,37.985,9453,38.8791,1729081,38.526853,SOXS
2023-01-05 13:30:00-05:00,38.9003,39.02,37.97,7890,38.3,1548071,38.539556,SOXS
2023-01-05 14:00:00-05:00,39.055,39.055,38.635,3228,38.88,560723,38.827912,SOXS
2023-01-05 14:30:00-05:00,38.89,39.06,38.5,3879,39.05,700680,38.734995,SOXS
2023-01-05 15:00:00-05:00,39.3785,39.38,38.77,6530,38.88,1522824,39.077123,SOXS
2023-01-05 15:30:00-05:00,39.6335,39.73,39.27,10900,39.37,1858462,39.487171,SOXS
2023-01-05 16:00:00-05:00,39.44,39.68,39.41,933,39.63,109879,39.576403,SOXS
2023-01-06 09:30:00-05:00,9.688,10.12,9.56,36273,9.95,18992638,9.811893,SOXL
2023-01-06 10:00:00-05:00,9.91,10.0,9.69,23429,9.69,12476344,9.877354,SOXL
2023-01-06 10:30:00-05:00,10.2415,10.27,9.9089,21048,9.92,11686454,10.120484,SOXL
2023-01-06 11:00:00-05:00,10.28,10.3,10.18,12388,10.25,6614539,10.245199,SOXL
2023-01-06 11:30:00-05:00,10.45,10.51,10.23,17220,10.29,8727307,10.395432,SOXL
2023-01-06 12:00:00-05:00,10.428,10.52,10.4,9057,10.46,5955502,10.465534,SOXL
2023-01-06 12:30:00-05:00,10.45,10.4717,10.39,6347,10.425,4470287,10.434971,SOXL
2023-01-06 13:00:00-05:00,10.5938,10.6,10.445,9235,10.4501,5981739,10.530305,SOXL
2023-01-06 13:30:00-05:00,10.6585,10.68,10.58,8257,10.5982,4256721,10.629858,SOXL
2023-01-06 14:00:00-05:00,10.7962,10.83,10.64,10839,10.66,5485998,10.747834,SOXL
2023-01-06 14:30:00-05:00,10.9601,11.01,10.78,13902,10.8,6536745,10.9006,SOXL
2023-01-06 15:00:00-05:00,10.9478,11.0699,10.94,14665,10.96,8891458,11.000717,SOXL
2023-01-06 15:30:00-05:00,10.8941,11.02,10.835,16140,10.945,9903849,10.926015,SOXL
2023-01-06 16:00:00-05:00,10.87,10.99,10.85,2951,10.89,959389,10.885107,SOXL
2023-01-06 09:30:00-05:00,39.1285,39.6,37.3,24167,38.02,3786383,38.581124,SOXS
2023-01-06 10:00:00-05:00,38.16,39.1299,37.79,17096,39.11,2538368,38.222755,SOXS
2023-01-06 10:30:00-05:00,36.79,38.18,36.68,27730,38.12,4180323,37.232568,SOXS
2023-01-06 11:00:00-05:00,36.6,37.03,36.5401,15903,36.77,2307986,36.76512,SOXS
