index,Close,High,Low,n,Open,v,vw,symbol
2016-01-04 09:30:00-05:00,34.05,34.41,34.05,41,34.41,66820,34.369393,TECL
2016-01-04 09:31:00-05:00,33.94,34.02,33.81,29,34.02,15991,33.915843,TECL
2016-01-04 09:32:00-05:00,34.1,34.1,33.95,29,33.95,7821,34.071642,TECL
2016-01-04 09:33:00-05:00,34.0,34.028,33.98,11,34.028,4146,33.997442,TECL
2016-01-04 09:34:00-05:00,33.91,33.95,33.9,13,33.93,3950,33.921744,TECL
2016-01-04 09:35:00-05:00,33.97,33.97,33.96,14,33.97,5695,33.968543,TECL
2016-01-04 09:36:00-05:00,34.017,34.017,34.017,2,34.017,350,34.008157,TECL
2016-01-04 09:37:00-05:00,34.1,34.1,34.1,26,34.1,5717,34.100249,TECL
2016-01-04 09:38:00-05:00,34.17,34.17,34.14,11,34.15,1000,34.150676,TECL
2016-01-04 09:39:00-05:00,34.16,34.16,34.12,14,34.12,1657,34.137296,TECL
2016-01-04 09:40:00-05:00,34.195,34.1995,34.1,9,34.11,7600,34.182447,TECL
2016-01-04 09:41:00-05:00,33.99,34.19,33.99,17,34.19,4675,34.085953,TECL
2016-01-04 09:42:00-05:00,33.87,34.04,33.87,61,33.99,15881,33.967571,TECL
2016-01-04 09:43:00-05:00,33.79,33.89,33.79,63,33.84,12694,33.8586,TECL
2016-01-04 09:44:00-05:00,33.8108,33.849,33.79,23,33.79,4987,33.807241,TECL
2016-01-04 09:45:00-05:00,33.7499,33.75,33.7499,7,33.75,1543,33.752176,TECL
2016-01-04 09:46:00-05:00,33.854,33.86,33.83,6,33.856,1380,33.85463,TECL
2016-01-04 09:47:00-05:00,33.8601,33.899,33.81,11,33.81,3000,33.860633,TECL
2016-01-04 09:48:00-05:00,33.9099,33.91,33.88,17,33.89,3097,33.892769,TECL
2016-01-04 09:49:00-05:00,34.03,34.03,33.9495,12,33.96,2376,33.966889,TECL
2016-01-04 09:50:00-05:00,33.93,34.02,33.93,20,33.99,4900,33.963402,TECL
2016-01-04 09:51:00-05:00,34.0131,34.0173,34.0131,5,34.015,500,34.01548,TECL
2016-01-04 09:52:00-05:00,34.0398,34.05,34.0398,6,34.05,816,34.0444,TECL
2016-01-04 09:53:00-05:00,34.02,34.02,34.02,2,34.02,400,34.02,TECL
2016-01-04 09:54:00-05:00,34.06,34.06,34.06,7,34.06,540,34.06,TECL
2016-01-04 09:55:00-05:00,34.02,34.02,33.95,16,33.95,1750,33.98651,TECL
2016-01-04 09:56:00-05:00,34.05,34.05,34.02,5,34.02,575,34.034348,TECL
2016-01-04 09:57:00-05:00,34.02,34.0299,34.02,2,34.0299,240,34.025775,TECL
2016-01-04 09:58:00-05:00,34.0,34.02,33.9958,25,33.999,6615,34.005631,TECL
2016-01-04 09:59:00-05:00,34.02,34.02,34.02,1,34.02,200,34.02,TECL
2016-01-04 10:00:00-05:00,33.8699,33.92,33.85,13,33.9,1731,33.896386,TECL
2016-01-04 10:01:00-05:00,33.82,33.83,33.82,6,33.82,825,33.826364,TECL
2016-01-04 10:02:00-05:00,33.6399,33.82,33.6399,33,33.82,13672,33.75495,TECL
2016-01-04 10:03:00-05:00,33.58,33.58,33.58,1,33.58,100,33.58,TECL
2016-01-04 10:05:00-05:00,33.59,33.59,33.59,1,33.59,100,33.59,TECL
2016-01-04 10:06:00-05:00,33.6978,33.71,33.6399,3,33.6399,620,33.693577,TECL
2016-01-04 10:07:00-05:00,33.67,33.67,33.67,16,33.67,2091,33.672176,TECL
2016-01-04 10:08:00-05:00,33.72,33.76,33.72,10,33.76,1957,33.74048,TECL
2016-01-04 10:09:00-05:00,33.7724,33.8,33.77,9,33.77,4427,33.773647,TECL
2016-01-04 10:12:00-05:00,33.7201,33.7599,33.7201,4,33.74,1750,33.731471,TECL
2016-01-04 10:13:00-05:00,33.8,33.8,33.7798,3,33.7798,330,33.7899,TECL
2016-01-04 10:14:00-05:00,33.67,33.7,33.64,7,33.7,780,33.667436,TECL
2016-01-04 10:17:00-05:00,33.87,33.87,33.87,5,33.87,300,33.87,TECL
