index,Close,High,Low,n,Open,v,vw,symbol
2023-01-03 09:30:00-05:00,17.98,17.98,17.98,3,17.98,2376,17.979634,UMDD
2023-01-03 09:33:00-05:00,18.01,18.01,18.01,4,18.01,1048,18.012605,UMDD
2023-01-03 09:39:00-05:00,18.217,18.217,18.217,2,18.217,503,18.21672,UMDD
2023-01-03 09:48:00-05:00,17.81,17.81,17.81,2,17.81,103,17.809126,UMDD
2023-01-03 09:52:00-05:00,17.83,17.83,17.83,4,17.83,203,17.839704,UMDD
2023-01-03 09:57:00-05:00,17.72,17.72,17.72,29,17.72,1725,17.719368,UMDD
2023-01-03 10:00:00-05:00,17.685,17.685,17.685,2,17.685,132,17.684886,UMDD
2023-01-03 10:02:00-05:00,17.755,17.755,17.7507,2,17.7507,500,17.75156,UMDD
2023-01-03 10:10:00-05:00,17.61,17.61,17.61,2,17.61,103,17.609709,UMDD
2023-01-03 10:21:00-05:00,17.42,17.42,17.42,1,17.42,625,17.42,UMDD
2023-01-03 10:23:00-05:00,17.457,17.457,17.457,2,17.457,503,17.456899,UMDD
2023-01-03 10:34:00-05:00,17.4801,17.4801,17.4801,2,17.4801,2000,17.4801,UMDD
2023-01-03 10:56:00-05:00,17.66,17.66,17.66,3,17.66,106,17.661415,UMDD
2023-01-03 10:59:00-05:00,17.76,17.76,17.76,3,17.76,105,17.760571,UMDD
2023-01-03 11:10:00-05:00,17.61,17.62,17.61,3,17.62,300,17.616667,UMDD
2023-01-03 11:13:00-05:00,17.51,17.51,17.51,2,17.51,103,17.510583,UMDD
2023-01-03 11:33:00-05:00,17.3999,17.3999,17.3999,1,17.3999,100,17.3999,UMDD
2023-01-03 12:03:00-05:00,17.1912,17.1912,17.1912,1,17.1912,867,17.1912,UMDD
2023-01-03 12:37:00-05:00,17.386,17.386,17.386,2,17.386,196,17.385918,UMDD
2023-01-03 12:46:00-05:00,17.11,17.11,17.11,14,17.11,956,17.110174,UMDD
2023-01-03 12:48:00-05:00,17.0806,17.0806,17.0806,2,17.0806,1963,17.080599,UMDD
2023-01-03 12:53:00-05:00,17.112,17.112,17.112,1,17.112,500,17.112,UMDD
2023-01-03 13:11:00-05:00,17.26,17.26,17.26,4,17.26,303,17.259802,UMDD
2023-01-03 14:22:00-05:00,17.17,17.17,17.17,1,17.17,150,17.17,UMDD
2023-01-03 14:25:00-05:00,17.11,17.11,17.11,2,17.11,101,17.109871,UMDD
2023-01-03 14:32:00-05:00,17.01,17.01,17.01,1,17.01,100,17.01,UMDD
2023-01-03 14:33:00-05:00,16.97,17.0,16.96,8,17.0,1035,16.974444,UMDD
2023-01-03 14:46:00-05:00,17.37,17.37,17.34,3,17.34,418,17.360431,UMDD
2023-01-03 15:04:00-05:00,17.2855,17.2855,17.2855,1,17.2855,307,17.2855,UMDD
2023-01-03 15:05:00-05:00,17.3,17.3,17.29,6,17.29,545,17.291835,UMDD
2023-01-03 15:54:00-05:00,17.46,17.46,17.46,2,17.46,104,17.45895,UMDD
2023-01-03 09:30:00-05:00,22.07,22.13,22.0,57,22.0,4415,22.086183,SMDD
2023-01-03 09:31:00-05:00,22.06,22.06,22.06,2,22.06,200,22.06,SMDD
2023-01-03 09:32:00-05:00,22.0,22.0,22.0,2,22.0,175,22.000229,SMDD
2023-01-03 09:33:00-05:00,21.94,21.94,21.94,10,21.94,491,21.951853,SMDD
2023-01-03 09:34:00-05:00,21.79,21.79,21.79,18,21.79,1306,21.790222,SMDD
2023-01-03 09:36:00-05:00,21.75,21.75,21.75,9,21.75,379,21.742639,SMDD
2023-01-03 09:38:00-05:00,21.83,21.83,21.81,4,21.81,303,21.823689,SMDD
2023-01-03 09:42:00-05:00,21.65,21.65,21.65,2,21.65,106,21.649717,SMDD
2023-01-03 09:45:00-05:00,22.01,22.01,22.01,3,22.01,111,21.997748,SMDD
2023-01-03 09:47:00-05:00,22.18,22.18,22.15,6,22.15,909,22.14989,SMDD
2023-01-03 09:48:00-05:00,22.26,22.26,22.22,10,22.22,1147,22.247995,SMDD
2023-01-03 09:49:00-05:00,22.22,22.22,22.22,2,22.22,200,22.22,SMDD
2023-01-03 09:51:00-05:00,22.12,22.12,22.12,1,22.12,100,22.12,SMDD
2023-01-03 10:58:00-05:00,22.31,22.33,22.31,7,22.33,406,22.315246,SMDD
2023-01-03 11:18:00-05:00,22.74,22.74,22.74,3,22.74,202,22.74,SMDD
2023-01-03 11:24:00-05:00,22.72,22.72,22.72,1,22.72,100,22.72,SMDD
