index,Close,High,Low,n,Open,v,vw,symbol
2021-01-04 09:30:00-05:00,65.6819,65.92,65.6819,10,65.92,3476,65.903651,WEBL
2021-01-04 09:31:00-05:00,65.43,65.43,65.43,2,65.43,115,65.434565,WEBL
2021-01-04 09:32:00-05:00,65.02,65.42,65.0,114,65.42,11041,65.050864,WEBL
2021-01-04 09:33:00-05:00,64.72,65.01,64.72,15,65.01,1368,64.86386,WEBL
2021-01-04 09:34:00-05:00,64.7,64.73,64.7,4,64.73,226,64.71354,WEBL
2021-01-04 09:40:00-05:00,63.7,63.7,63.7,10,63.7,142,63.657746,WEBL
2021-01-04 09:41:00-05:00,63.9883,63.9883,63.5736,6,63.5736,1337,63.912423,WEBL
2021-01-04 09:43:00-05:00,63.78,63.7938,63.7719,4,63.7938,932,63.779921,WEBL
2021-01-04 09:45:00-05:00,64.2099,64.2099,63.875,9,63.875,1778,64.012993,WEBL
2021-01-04 09:46:00-05:00,63.8951,63.8951,63.8951,3,63.8951,116,63.901293,WEBL
2021-01-04 09:48:00-05:00,63.885,63.885,63.885,3,63.885,305,63.885,WEBL
2021-01-04 09:49:00-05:00,63.9437,63.9437,63.9437,4,63.9437,201,63.95189,WEBL
2021-01-04 09:50:00-05:00,63.975,64.0078,63.975,4,64.0078,852,64.000235,WEBL
2021-01-04 09:51:00-05:00,63.65,63.8,63.6,19,63.8,2234,63.675286,WEBL
2021-01-04 09:52:00-05:00,63.62,63.62,63.62,6,63.62,109,63.616055,WEBL
2021-01-04 09:55:00-05:00,64.2039,64.2039,64.1,7,64.1,562,64.139345,WEBL
2021-01-04 09:58:00-05:00,63.9117,63.9117,63.9117,2,63.9117,346,63.911483,WEBL
2021-01-04 10:01:00-05:00,63.82,63.82,63.73,4,63.73,888,63.760659,WEBL
2021-01-04 10:05:00-05:00,63.99,64.01,63.99,6,64.01,402,64.002774,WEBL
2021-01-04 10:07:00-05:00,64.19,64.19,64.14,9,64.14,358,64.128673,WEBL
2021-01-04 10:13:00-05:00,63.78,63.78,63.78,1,63.78,200,63.78,WEBL
2021-01-04 10:14:00-05:00,63.9002,63.9002,63.9002,3,63.9002,268,63.902657,WEBL
2021-01-04 10:16:00-05:00,64.3365,64.3365,64.3199,2,64.3199,341,64.326764,WEBL
2021-01-04 10:17:00-05:00,64.24,64.4191,64.24,23,64.35,4505,64.316597,WEBL
2021-01-04 10:19:00-05:00,64.154,64.4,64.154,10,64.4,1239,64.283876,WEBL
2021-01-04 10:22:00-05:00,64.5933,64.5933,64.5933,1,64.5933,1443,64.5933,WEBL
2021-01-04 10:23:00-05:00,64.64,64.64,64.64,2,64.64,230,64.650435,WEBL
2021-01-04 10:27:00-05:00,64.775,64.775,64.775,2,64.775,505,64.775093,WEBL
2021-01-04 10:28:00-05:00,64.825,64.825,64.7,2,64.7,200,64.7625,WEBL
2021-01-04 10:33:00-05:00,64.4,64.4,64.3316,4,64.3316,413,64.351889,WEBL
2021-01-04 10:34:00-05:00,64.39,64.39,64.39,1,64.39,350,64.39,WEBL
2021-01-04 10:35:00-05:00,64.04,64.18,64.04,12,64.14,960,64.108708,WEBL
2021-01-04 10:38:00-05:00,63.9,63.9,63.9,6,63.9,644,63.910683,WEBL
