index,Open,High,Low,Close,Volume,Ticker
2010-02-11 10:39:00,3.094,3.099,3.09,3.094,2400,UDOW
2010-02-11 10:40:00,3.093,3.098,3.089,3.093,2400,UDOW
2010-02-11 10:46:00,3.094,3.098,3.089,3.093,2400,UDOW
2010-02-12 09:33:00,3.082,3.087,3.078,3.082,9600,UDOW
2010-02-12 09:39:00,3.072,3.077,3.068,3.072,2400,UDOW
2010-02-12 10:02:00,3.052,3.057,3.047,3.052,28800,UDOW
2010-02-12 10:03:00,3.058,3.063,3.053,3.057,43200,UDOW
2010-02-12 10:27:00,3.086,3.091,3.082,3.086,12000,UDOW
2010-02-12 10:28:00,3.082,3.087,3.078,3.082,36000,UDOW
2010-02-16 09:30:00,3.24,3.245,3.236,3.24,12000,UDOW
2010-02-16 09:37:00,3.223,3.228,3.218,3.223,12000,UDOW
2010-02-16 10:42:00,3.264,3.269,3.259,3.263,14400,UDOW
2010-02-16 13:30:00,3.284,3.289,3.279,3.284,24000,UDOW
2010-02-16 13:32:00,3.284,3.289,3.277,3.281,16800,UDOW
2010-02-16 13:34:00,3.279,3.284,3.275,3.279,2400,UDOW
2010-02-16 13:35:00,3.281,3.286,3.276,3.28,2400,UDOW
2010-02-16 13:39:00,3.275,3.28,3.27,3.274,2400,UDOW
2010-02-16 13:40:00,3.278,3.283,3.273,3.278,4800,UDOW
2010-02-16 13:45:00,3.271,3.276,3.266,3.27,4800,UDOW
2010-02-16 15:16:00,3.285,3.29,3.28,3.285,2400,UDOW
2010-02-16 15:18:00,3.29,3.295,3.285,3.29,2400,UDOW
2010-02-17 09:30:00,3.351,3.356,3.342,3.346,7200,UDOW
2010-02-17 09:33:00,3.353,3.359,3.347,3.354,38400,UDOW
2010-02-17 09:34:00,3.354,3.359,3.349,3.353,2400,UDOW
2010-02-17 09:36:00,3.359,3.364,3.354,3.358,4800,UDOW
2010-02-17 09:38:00,3.364,3.369,3.359,3.363,2400,UDOW
2010-02-17 09:42:00,3.357,3.364,3.352,3.359,24000,UDOW
2010-02-17 09:43:00,3.358,3.363,3.353,3.358,2400,UDOW
2010-02-17 09:46:00,3.359,3.364,3.354,3.358,2400,UDOW
2010-02-17 09:47:00,3.36,3.365,3.353,3.358,4800,UDOW
2010-02-17 09:51:00,3.36,3.365,3.355,3.36,2400,UDOW
2010-02-17 11:11:00,3.348,3.354,3.343,3.348,12000,UDOW
2010-02-17 11:34:00,3.348,3.353,3.343,3.348,4800,UDOW
2010-02-17 11:47:00,3.348,3.353,3.343,3.348,13800,UDOW
2010-02-17 11:54:00,3.353,3.359,3.348,3.354,14400,UDOW
2010-02-17 12:03:00,3.363,3.368,3.358,3.362,14400,UDOW
2010-02-17 12:10:00,3.361,3.367,3.356,3.361,26400,UDOW
2010-02-17 12:26:00,3.365,3.371,3.36,3.366,33600,UDOW
2010-02-17 12:44:00,3.357,3.362,3.352,3.357,16800,UDOW
2010-02-17 12:45:00,3.355,3.36,3.35,3.355,2400,UDOW
2010-02-17 13:52:00,3.352,3.357,3.347,3.352,2400,UDOW
2010-02-17 13:54:00,3.353,3.359,3.349,3.353,2400,UDOW
2010-02-17 13:57:00,3.352,3.357,3.347,3.352,2400,UDOW
2010-02-17 13:58:00,3.355,3.361,3.35,3.355,2400,UDOW
2010-02-17 14:00:00,3.351,3.356,3.346,3.35,4800,UDOW
