index,Open,High,Low,Close,Volume,Ticker
2024-01-02 09:30:00,21.96,21.97,21.77,21.77,3377,UMDD
2024-01-02 10:03:00,22.33,22.33,22.33,22.33,922,UMDD
2024-01-02 10:04:00,22.311,22.311,22.311,22.311,140,UMDD
2024-01-02 10:05:00,22.39,22.39,22.39,22.39,180,UMDD
2024-01-02 10:08:00,22.252,22.252,22.252,22.252,100,UMDD
2024-01-02 10:26:00,22.155,22.155,22.155,22.155,111,UMDD
2024-01-02 11:09:00,22.16,22.16,22.16,22.16,131,UMDD
2024-01-02 11:23:00,22.211,22.211,22.211,22.211,300,UMDD
2024-01-02 12:07:00,22.35,22.362,22.35,22.362,565,UMDD
2024-01-02 12:24:00,22.42,22.42,22.42,22.42,200,UMDD
2024-01-02 12:41:00,22.46,22.46,22.43,22.43,565,UMDD
2024-01-02 14:09:00,22.032,22.032,22.03,22.03,700,UMDD
2024-01-02 14:34:00,22.027,22.027,22.027,22.027,125,UMDD
2024-01-02 15:02:00,21.862,21.862,21.862,21.862,149,UMDD
2024-01-02 15:59:00,22.05,22.08,22.05,22.08,733,UMDD
2024-01-03 09:30:00,21.55,21.55,21.42,21.42,1571,UMDD
2024-01-03 10:00:00,21.23,21.23,21.17,21.17,3000,UMDD
2024-01-03 10:17:00,20.91,20.91,20.9,20.9,869,UMDD
2024-01-03 10:19:00,20.869,20.869,20.869,20.869,1015,UMDD
2024-01-03 10:47:00,20.72,20.72,20.72,20.72,175,UMDD
2024-01-03 10:52:00,20.75,20.75,20.75,20.75,3000,UMDD
2024-01-03 11:09:00,20.99,20.99,20.98,20.98,2610,UMDD
2024-01-03 11:32:00,21.0,21.0,21.0,21.0,2420,UMDD
2024-01-03 11:41:00,20.96,20.96,20.95,20.95,250,UMDD
2024-01-03 11:53:00,20.98,20.98,20.98,20.98,100,UMDD
2024-01-03 12:00:00,20.96,20.96,20.96,20.96,127,UMDD
2024-01-03 12:07:00,20.9,20.9,20.9,20.9,100,UMDD
2024-01-03 12:18:00,20.879,20.879,20.879,20.879,241,UMDD
2024-01-03 12:20:00,20.859,20.858,20.859,20.859,240,UMDD
2024-01-03 12:27:00,20.943,20.943,20.943,20.943,200,UMDD
