index,Open,High,Low,Close,Volume,Ticker
2024-02-01 09:30:00,113.55,114.09,112.74,112.97,62608,LABU
2024-02-01 09:31:00,113.28,113.7,112.06,112.585,21459,LABU
2024-02-01 09:32:00,112.7,113.45,112.7,112.87,18742,LABU
2024-02-01 09:33:00,112.96,113.08,112.5,113.08,9826,LABU
2024-02-01 09:34:00,113.18,113.3,112.92,113.15,11920,LABU
2024-02-01 09:35:00,113.22,113.43,112.66,113.02,9896,LABU
2024-02-01 09:36:00,113.21,114.0,113.11,113.65,16373,LABU
2024-02-01 09:37:00,113.56,113.77,112.97,112.97,10111,LABU
2024-02-01 09:38:00,112.78,112.78,111.88,112.235,26503,LABU
2024-02-01 09:39:00,112.3,112.59,112.16,112.31,11508,LABU
2024-02-01 09:40:00,112.2,112.29,111.95,112.2,18909,LABU
2024-02-01 09:41:00,112.24,113.3,112.24,113.18,12905,LABU
2024-02-01 09:42:00,113.11,113.784,113.099,113.402,12403,LABU
2024-02-01 09:43:00,113.593,113.88,113.38,113.576,13598,LABU
2024-02-01 09:44:00,113.65,113.856,113.513,113.8,8916,LABU
2024-02-01 09:45:00,113.68,113.79,113.1,113.44,5724,LABU
2024-02-01 09:46:00,113.7,113.7,112.56,112.686,8952,LABU
2024-02-01 09:47:00,112.73,112.76,112.11,112.18,12831,LABU
2024-02-01 09:48:00,112.11,112.6,111.68,111.856,24709,LABU
2024-02-01 09:49:00,111.83,112.38,111.68,111.72,29689,LABU
2024-02-01 09:50:00,111.8,112.5,111.61,112.39,24660,LABU
2024-02-01 09:51:00,112.35,112.515,112.18,112.232,6725,LABU
2024-02-01 09:52:00,112.33,112.57,111.94,112.189,10865,LABU
2024-02-01 09:53:00,112.08,112.08,111.5,111.78,11965,LABU
2024-02-01 09:54:00,111.779,111.96,111.4,111.61,13410,LABU
2024-02-01 09:55:00,111.56,111.77,111.325,111.446,9112,LABU
2024-02-01 09:56:00,111.38,111.46,110.94,111.13,17704,LABU
2024-02-01 09:57:00,111.2,111.53,111.11,111.29,8167,LABU
2024-02-01 09:58:00,111.12,111.19,110.95,111.06,7087,LABU
2024-02-01 09:59:00,111.15,111.54,111.15,111.52,4269,LABU
2024-02-01 10:00:00,111.33,111.54,110.18,110.99,22741,LABU
2024-02-01 10:01:00,111.06,111.86,111.06,111.51,6400,LABU
2024-02-01 10:02:00,111.62,111.95,111.17,111.556,8957,LABU
