index,Open,High,Low,Close,Volume,Ticker
2008-11-05 09:32:00,3.774,3.787,3.764,3.779,12000,SPXL
2008-11-05 09:37:00,3.742,3.755,3.733,3.747,2160,SPXL
2008-11-05 09:44:00,3.724,3.736,3.714,3.728,2400,SPXL
2008-11-05 09:48:00,3.711,3.723,3.701,3.715,1200,SPXL
2008-11-05 10:19:00,3.819,3.832,3.809,3.823,6000,SPXL
2008-11-05 10:23:00,3.848,3.861,3.838,3.853,1200,SPXL
2008-11-05 10:41:00,3.84,3.853,3.831,3.845,3240,SPXL
2008-11-05 10:55:00,3.823,3.836,3.813,3.827,2520,SPXL
2008-11-05 11:00:00,3.814,3.827,3.804,3.819,2760,SPXL
2008-11-05 11:01:00,3.82,3.833,3.81,3.825,1260,SPXL
2008-11-05 11:05:00,3.803,3.816,3.793,3.808,1200,SPXL
2008-11-05 11:08:00,3.798,3.813,3.786,3.804,6000,SPXL
2008-11-05 11:09:00,3.802,3.819,3.788,3.802,9600,SPXL
2008-11-05 11:43:00,3.725,3.738,3.716,3.73,12000,SPXL
2008-11-05 11:48:00,3.725,3.737,3.715,3.729,6000,SPXL
2008-11-05 11:49:00,3.715,3.727,3.705,3.719,3600,SPXL
2008-11-05 11:58:00,3.693,3.706,3.684,3.697,1200,SPXL
2008-11-05 12:08:00,3.708,3.721,3.693,3.707,2400,SPXL
2008-11-05 12:09:00,3.708,3.721,3.699,3.712,4200,SPXL
2008-11-05 12:15:00,3.657,3.669,3.647,3.661,4800,SPXL
2008-11-05 12:17:00,3.633,3.647,3.624,3.639,4500,SPXL
2008-11-05 12:21:00,3.651,3.663,3.641,3.655,1200,SPXL
2008-11-05 12:28:00,3.621,3.633,3.611,3.625,2400,SPXL
2008-11-05 12:29:00,3.617,3.629,3.608,3.621,3600,SPXL
2008-11-05 12:31:00,3.617,3.629,3.607,3.621,6000,SPXL
2008-11-05 12:37:00,3.581,3.593,3.572,3.585,3600,SPXL
2008-11-05 12:41:00,3.53,3.542,3.52,3.534,12000,SPXL
2008-11-05 12:54:00,3.554,3.566,3.545,3.558,2400,SPXL
2008-11-05 13:04:00,3.579,3.591,3.57,3.583,1200,SPXL
2008-11-05 13:36:00,3.532,3.544,3.523,3.536,1200,SPXL
2008-11-05 13:39:00,3.547,3.558,3.537,3.551,2400,SPXL
2008-11-05 13:44:00,3.579,3.591,3.57,3.583,1800,SPXL
2008-11-05 14:11:00,3.529,3.541,3.52,3.533,2400,SPXL
2008-11-05 14:38:00,3.564,3.576,3.554,3.568,1200,SPXL
2008-11-05 14:57:00,3.57,3.582,3.561,3.574,1200,SPXL
2008-11-05 15:00:00,3.541,3.553,3.532,3.545,1200,SPXL
2008-11-05 15:02:00,3.541,3.553,3.532,3.545,1200,SPXL
2008-11-05 15:05:00,3.575,3.596,3.566,3.588,2400,SPXL
2008-11-05 15:07:00,3.596,3.608,3.587,3.6,2400,SPXL
2008-11-05 15:11:00,3.587,3.599,3.576,3.589,7200,SPXL
2008-11-05 15:16:00,3.528,3.54,3.519,3.532,5640,SPXL
2008-11-05 15:17:00,3.493,3.505,3.484,3.497,1200,SPXL
2008-11-05 15:18:00,3.478,3.49,3.47,3.482,1200,SPXL
2008-11-05 15:21:00,3.503,3.514,3.494,3.507,1200,SPXL
2008-11-05 15:22:00,3.472,3.484,3.463,3.476,1200,SPXL
2008-11-05 15:23:00,3.469,3.481,3.46,3.473,4800,SPXL
2008-11-05 15:25:00,3.47,3.482,3.461,3.474,1200,SPXL
2008-11-05 15:26:00,3.469,3.481,3.46,3.473,1200,SPXL
2008-11-05 15:28:00,3.469,3.481,3.46,3.473,1200,SPXL
2008-11-05 15:30:00,3.446,3.457,3.437,3.45,1200,SPXL
2008-11-05 15:34:00,3.393,3.405,3.384,3.397,12000,SPXL
2008-11-05 15:37:00,3.389,3.401,3.381,3.393,2400,SPXL
2008-11-05 15:40:00,3.342,3.354,3.334,3.346,2160,SPXL
2008-11-05 15:47:00,3.407,3.422,3.398,3.414,10800,SPXL
2008-11-05 15:48:00,3.453,3.487,3.444,3.479,10800,SPXL
2008-11-05 15:50:00,3.427,3.439,3.419,3.431,4560,SPXL
2008-11-05 15:52:00,3.418,3.429,3.409,3.422,1200,SPXL
2008-11-05 15:55:00,3.363,3.375,3.355,3.367,1200,SPXL
2008-11-05 15:56:00,3.363,3.375,3.355,3.367,4800,SPXL
2008-11-05 15:57:00,3.283,3.294,3.275,3.287,1200,SPXL
2008-11-05 15:59:00,3.281,3.339,3.272,3.332,4800,SPXL
2008-11-06 09:33:00,3.26,3.271,3.251,3.264,1200,SPXL
2008-11-06 09:34:00,3.265,3.276,3.257,3.269,2400,SPXL
2008-11-06 09:38:00,3.29,3.304,3.281,3.297,7200,SPXL
2008-11-06 09:39:00,3.297,3.308,3.289,3.301,2400,SPXL
2008-11-06 09:42:00,3.246,3.257,3.238,3.25,1200,SPXL
2008-11-06 09:49:00,3.24,3.251,3.232,3.244,1200,SPXL
2008-11-06 09:53:00,3.155,3.166,3.147,3.159,6000,SPXL
2008-11-06 09:55:00,3.178,3.205,3.17,3.198,12000,SPXL
2008-11-06 09:58:00,3.175,3.185,3.167,3.178,2400,SPXL
2008-11-06 09:59:00,3.166,3.176,3.157,3.169,3600,SPXL
2008-11-06 10:02:00,3.162,3.172,3.154,3.165,1200,SPXL
2008-11-06 10:06:00,3.162,3.172,3.154,3.165,1200,SPXL
2008-11-06 10:09:00,3.163,3.177,3.155,3.17,12000,SPXL
2008-11-06 10:10:00,3.16,3.171,3.152,3.164,1200,SPXL
2008-11-06 10:12:00,3.181,3.192,3.173,3.185,1200,SPXL
2008-11-06 10:13:00,3.181,3.192,3.173,3.185,2400,SPXL
2008-11-06 10:23:00,3.179,3.19,3.171,3.183,1200,SPXL
2008-11-06 10:28:00,3.152,3.162,3.143,3.155,5100,SPXL
2008-11-06 10:29:00,3.142,3.153,3.134,3.146,1800,SPXL
2008-11-06 10:32:00,3.096,3.107,3.087,3.098,7200,SPXL
2008-11-06 10:33:00,3.092,3.103,3.084,3.096,3600,SPXL
2008-11-06 10:35:00,3.111,3.121,3.09,3.102,12000,SPXL
2008-11-06 10:41:00,3.071,3.081,3.063,3.074,2160,SPXL
2008-11-06 10:53:00,3.054,3.064,3.046,3.057,6000,SPXL
2008-11-06 10:55:00,3.059,3.069,3.051,3.062,4800,SPXL
2008-11-06 11:00:00,3.082,3.092,3.074,3.085,3600,SPXL
2008-11-06 11:03:00,3.083,3.093,3.065,3.077,7200,SPXL
2008-11-06 11:05:00,3.075,3.085,3.067,3.078,6000,SPXL
2008-11-06 11:06:00,3.084,3.094,3.076,3.087,6000,SPXL
2008-11-06 11:10:00,3.044,3.054,3.009,3.02,16740,SPXL
2008-11-06 11:11:00,3.022,3.032,3.008,3.019,2400,SPXL
2008-11-06 11:14:00,3.031,3.045,3.024,3.038,14400,SPXL
2008-11-06 11:15:00,3.027,3.038,3.02,3.031,4800,SPXL
2008-11-06 11:17:00,3.011,3.021,3.003,3.015,2400,SPXL
2008-11-06 11:19:00,3.018,3.028,3.003,3.015,4800,SPXL
2008-11-06 11:20:00,3.012,3.022,3.005,3.016,2400,SPXL
2008-11-06 11:23:00,3.011,3.021,2.98,2.991,2400,SPXL
2008-11-06 11:25:00,3.014,3.024,3.006,3.017,1200,SPXL
2008-11-06 11:26:00,3.01,3.021,3.003,3.014,1200,SPXL
2008-11-06 11:27:00,3.001,3.011,2.994,3.005,14400,SPXL
2008-11-06 11:29:00,3.001,3.015,2.994,3.008,15600,SPXL
2008-11-06 11:32:00,3.018,3.028,3.011,3.022,1740,SPXL
2008-11-06 11:33:00,3.008,3.019,3.001,3.012,1200,SPXL
2008-11-06 11:36:00,2.991,3.001,2.983,2.994,1200,SPXL
2008-11-06 11:37:00,2.955,2.965,2.947,2.958,2400,SPXL
2008-11-06 11:38:00,2.965,2.982,2.957,2.975,3480,SPXL
2008-11-06 11:40:00,2.998,3.019,2.986,3.012,19200,SPXL
2008-11-06 11:42:00,2.991,3.001,2.983,2.994,2400,SPXL
2008-11-06 11:44:00,3.013,3.023,3.005,3.017,1200,SPXL
2008-11-06 11:49:00,3.016,3.026,3.008,3.019,1740,SPXL
2008-11-06 11:50:00,3.012,3.022,3.004,3.015,1200,SPXL
2008-11-06 11:51:00,3.011,3.021,3.003,3.015,1800,SPXL
2008-11-06 11:52:00,3.011,3.021,3.003,3.015,6000,SPXL
2008-11-06 11:53:00,3.005,3.015,2.997,3.009,2400,SPXL
2008-11-06 11:54:00,2.985,2.995,2.977,2.988,7200,SPXL
2008-11-06 11:56:00,3.01,3.02,3.002,3.013,1200,SPXL
2008-11-06 11:58:00,3.011,3.021,3.003,3.015,1200,SPXL
2008-11-06 12:00:00,2.985,2.995,2.977,2.988,31008,SPXL
2008-11-06 12:01:00,2.986,2.996,2.977,2.988,41340,SPXL
2008-11-06 12:02:00,2.985,2.995,2.977,2.988,10956,SPXL
2008-11-06 12:15:00,2.978,2.988,2.971,2.982,14400,SPXL
2008-11-06 12:17:00,2.958,2.968,2.947,2.958,12000,SPXL
2008-11-06 12:18:00,2.956,2.971,2.949,2.965,14400,SPXL
2008-11-06 12:19:00,2.952,2.962,2.945,2.956,2400,SPXL
2008-11-06 12:20:00,2.954,2.966,2.939,2.95,18000,SPXL
2008-11-06 12:25:00,2.955,2.965,2.948,2.959,4344,SPXL
2008-11-06 12:28:00,2.913,2.929,2.905,2.923,6960,SPXL
2008-11-06 12:31:00,2.913,2.923,2.905,2.916,1200,SPXL
2008-11-06 12:32:00,2.883,2.893,2.873,2.883,3000,SPXL
2008-11-06 12:33:00,2.9,2.91,2.893,2.904,1200,SPXL
2008-11-06 12:35:00,2.908,2.918,2.898,2.908,12000,SPXL
