index,Open,High,Low,Close,Volume,Ticker
2008-11-19 09:30:00,6.461,6.589,6.44,6.571,33536,TNA
2008-11-19 09:31:00,6.531,6.568,6.479,6.513,4800,TNA
2008-11-19 09:32:00,6.506,6.587,6.46,6.494,23080,TNA
2008-11-19 09:33:00,6.463,6.495,6.392,6.463,12080,TNA
2008-11-19 09:34:00,6.417,6.453,6.396,6.43,68000,TNA
2008-11-19 09:35:00,6.442,6.497,6.423,6.48,9660,TNA
2008-11-19 09:36:00,6.477,6.524,6.425,6.496,42216,TNA
2008-11-19 09:37:00,6.452,6.585,6.44,6.565,27504,TNA
2008-11-19 09:38:00,6.575,6.618,6.545,6.58,20888,TNA
2008-11-19 09:39:00,6.583,6.624,6.529,6.577,32200,TNA
2008-11-19 09:40:00,6.61,6.676,6.57,6.605,52200,TNA
2008-11-19 09:41:00,6.579,6.622,6.485,6.515,66000,TNA
2008-11-19 09:42:00,6.5,6.543,6.477,6.509,10164,TNA
2008-11-19 09:43:00,6.488,6.545,6.444,6.471,7980,TNA
2008-11-19 09:44:00,6.438,6.47,6.408,6.436,5400,TNA
2008-11-19 09:45:00,6.442,6.497,6.429,6.48,7920,TNA
2008-11-19 09:46:00,6.477,6.509,6.404,6.432,15112,TNA
2008-11-19 09:47:00,6.409,6.441,6.352,6.405,14100,TNA
2008-11-19 09:48:00,6.39,6.422,6.346,6.384,7000,TNA
2008-11-19 09:49:00,6.369,6.439,6.355,6.421,7600,TNA
2008-11-19 09:50:00,6.384,6.474,6.371,6.457,7200,TNA
2008-11-19 09:51:00,6.353,6.399,6.34,6.382,2400,TNA
2008-11-19 09:52:00,6.377,6.409,6.311,6.346,5200,TNA
2008-11-19 09:53:00,6.332,6.363,6.261,6.309,12800,TNA
2008-11-19 09:54:00,6.288,6.345,6.255,6.326,7528,TNA
2008-11-19 09:55:00,6.296,6.401,6.284,6.384,11480,TNA
2008-11-19 09:56:00,6.363,6.455,6.346,6.438,7720,TNA
2008-11-19 09:57:00,6.444,6.476,6.392,6.419,4400,TNA
2008-11-19 09:58:00,6.348,6.428,6.305,6.332,79040,TNA
2008-11-19 09:59:00,6.344,6.376,6.311,6.355,7644,TNA
2008-11-19 10:00:00,6.365,6.397,6.321,6.349,5200,TNA
2008-11-19 10:01:00,6.346,6.407,6.326,6.359,16000,TNA
2008-11-19 10:02:00,6.365,6.409,6.315,6.374,37472,TNA
2008-11-19 10:03:00,6.355,6.451,6.342,6.413,10800,TNA
2008-11-19 10:04:00,6.415,6.484,6.394,6.467,10468,TNA
2008-11-19 10:05:00,6.454,6.487,6.404,6.444,4800,TNA
2008-11-19 10:06:00,6.467,6.522,6.435,6.463,52844,TNA
2008-11-19 10:07:00,6.444,6.505,6.39,6.484,51824,TNA
2008-11-19 10:08:00,6.446,6.535,6.433,6.517,30856,TNA
2008-11-19 10:09:00,6.529,6.568,6.479,6.515,14800,TNA
2008-11-19 10:10:00,6.485,6.551,6.466,6.534,24368,TNA
2008-11-19 10:11:00,6.531,6.585,6.506,6.538,5400,TNA
2008-11-19 10:12:00,6.517,6.551,6.466,6.494,8944,TNA
2008-11-19 10:13:00,6.49,6.522,6.433,6.494,10400,TNA
2008-11-19 10:14:00,6.475,6.532,6.462,6.515,4000,TNA
2008-11-19 10:15:00,6.527,6.612,6.512,6.559,16296,TNA
2008-11-19 10:16:00,6.544,6.576,6.433,6.463,34800,TNA
2008-11-19 10:17:00,6.479,6.524,6.406,6.459,22772,TNA
2008-11-19 10:18:00,6.438,6.497,6.421,6.465,17440,TNA
2008-11-19 10:19:00,6.442,6.478,6.369,6.396,42800,TNA
2008-11-19 10:20:00,6.388,6.455,6.361,6.436,16000,TNA
2008-11-19 10:21:00,6.407,6.439,6.379,6.407,6720,TNA
2008-11-19 10:22:00,6.413,6.445,6.396,6.423,3600,TNA
2008-11-19 10:23:00,6.431,6.464,6.396,6.438,7200,TNA
2008-11-19 10:24:00,6.382,6.443,6.369,6.407,5400,TNA
2008-11-19 10:25:00,6.404,6.436,6.371,6.398,2600,TNA
2008-11-19 10:26:00,6.334,6.38,6.28,6.363,21728,TNA
2008-11-19 10:27:00,6.348,6.422,6.328,6.405,5200,TNA
2008-11-19 10:28:00,6.404,6.449,6.332,6.378,20748,TNA
