index,Open,High,Low,Close,Volume,Ticker
2012-01-03 09:30:00,2.951,2.954,2.949,2.952,2000,UMDD
2012-01-03 09:31:00,2.957,2.964,2.955,2.962,24600,UMDD
2012-01-03 09:32:00,2.962,2.965,2.961,2.963,13000,UMDD
2012-01-03 09:33:00,2.964,2.969,2.963,2.968,34000,UMDD
2012-01-03 09:34:00,2.971,2.974,2.969,2.972,5000,UMDD
2012-01-03 09:35:00,2.961,2.964,2.958,2.962,66000,UMDD
2012-01-03 09:36:00,2.957,2.96,2.956,2.959,4000,UMDD
2012-01-03 09:37:00,2.952,2.957,2.95,2.955,39240,UMDD
2012-01-03 09:38:00,2.953,2.956,2.951,2.954,8000,UMDD
2012-01-03 09:41:00,2.95,2.953,2.948,2.951,2000,UMDD
2012-01-03 09:42:00,2.942,2.945,2.94,2.943,7320,UMDD
2012-01-03 09:44:00,2.94,2.943,2.939,2.942,14000,UMDD
2012-01-03 09:45:00,2.946,2.949,2.943,2.946,44000,UMDD
2012-01-03 09:46:00,2.944,2.947,2.939,2.942,26000,UMDD
2012-01-03 09:47:00,2.941,2.946,2.94,2.944,44000,UMDD
2012-01-03 09:50:00,2.931,2.935,2.929,2.933,4000,UMDD
2012-01-03 09:52:00,2.931,2.935,2.929,2.933,6000,UMDD
2012-01-03 09:54:00,2.936,2.938,2.934,2.937,4000,UMDD
2012-01-03 09:55:00,2.939,2.942,2.938,2.941,8000,UMDD
2012-01-03 09:56:00,2.94,2.943,2.938,2.941,2000,UMDD
2012-01-03 09:58:00,2.938,2.941,2.936,2.939,2000,UMDD
2012-01-03 10:00:00,2.934,2.937,2.932,2.935,18000,UMDD
2012-01-03 10:02:00,2.949,2.954,2.946,2.952,38000,UMDD
2012-01-03 10:03:00,2.961,2.972,2.959,2.969,192000,UMDD
2012-01-03 10:05:00,2.969,2.972,2.967,2.97,4000,UMDD
2012-01-03 10:06:00,2.974,2.977,2.97,2.973,16160,UMDD
2012-01-03 10:07:00,2.974,2.977,2.972,2.975,2800,UMDD
2012-01-03 10:08:00,2.975,2.98,2.973,2.978,8000,UMDD
2012-01-03 10:10:00,2.978,2.981,2.976,2.979,20000,UMDD
2012-01-03 10:11:00,2.979,2.982,2.971,2.978,58000,UMDD
2012-01-03 10:13:00,2.977,2.98,2.975,2.978,8000,UMDD
2012-01-03 10:15:00,2.976,2.983,2.974,2.981,26000,UMDD
2012-01-03 10:17:00,2.98,2.983,2.978,2.981,2000,UMDD
2012-01-03 10:20:00,2.979,2.982,2.977,2.98,3700,UMDD
2012-01-03 10:21:00,2.98,2.984,2.978,2.983,85700,UMDD
2012-01-03 10:22:00,2.984,2.987,2.98,2.983,28000,UMDD
2012-01-03 10:23:00,2.983,2.986,2.982,2.985,8000,UMDD
2012-01-03 10:25:00,2.982,2.985,2.979,2.982,16000,UMDD
2012-01-03 10:26:00,2.973,2.976,2.971,2.974,4000,UMDD
2012-01-03 10:28:00,2.972,2.975,2.97,2.973,4000,UMDD
2012-01-03 10:29:00,2.968,2.972,2.966,2.969,12000,UMDD
2012-01-03 10:30:00,2.969,2.972,2.967,2.97,8000,UMDD
2012-01-03 10:33:00,2.966,2.969,2.965,2.968,3560,UMDD
2012-01-03 10:35:00,2.963,2.969,2.961,2.967,10800,UMDD
2012-01-03 10:38:00,2.962,2.965,2.961,2.964,20000,UMDD
2012-01-03 10:41:00,2.962,2.965,2.96,2.963,48000,UMDD
2012-01-03 10:42:00,2.96,2.965,2.958,2.964,14000,UMDD
2012-01-03 10:49:00,2.962,2.965,2.96,2.963,2000,UMDD
2012-01-03 10:51:00,2.961,2.964,2.96,2.963,2000,UMDD
2012-01-03 10:55:00,2.965,2.968,2.963,2.966,2000,UMDD
2012-01-03 10:57:00,2.969,2.972,2.967,2.97,2000,UMDD
2012-01-03 10:58:00,2.971,2.974,2.969,2.972,2000,UMDD
2012-01-03 11:02:00,2.972,2.975,2.97,2.973,6000,UMDD
2012-01-03 11:03:00,2.974,2.977,2.972,2.975,92000,UMDD
